Song,Nation,Year,BPM
Acid Scout - Balance,Germany,1994,123.046875
Acid Scout - Clock Seven,Germany,1994,120.18531976744181
Acid Scout - In Front Of Da Outland,Germany,1994,151.99908088235293
Acid Scout - Jing Jang,Germany,1994,143.5546875
Acid Scout - Ma' Lady,Germany,1994,143.5546875
Acid Scout - Mondonon,Germany,1994,132.51201923076925
Acid Scout - Washaa,Germany,1994,198.76802884615384
Acid-Pin-Ups - Betty 101,Germany,1994,129.19921875
Acid-Pin-Ups - Cathleen 909 ,Germany,1994,129.19921875
Acid-Pin-Ups - Heather 202 ,Germany,1994,129.19921875
Acid-Pin-Ups - Ivonne 808 ,Germany,1994,129.19921875
Acid-Pin-Ups - Marilyn 404 ,Germany,1994,181.33223684210526
Acrid Abeyance - 303 Delight,Germany,1993,156.6051136363636
Acrid Abeyance - 303 In Love,Germany,1993,135.99917763157896
Acrid Abeyance - Acid Blubber ,Germany,1994,151.9990808823529
Acrid Abeyance - Crying Bassline,Germany,1993,135.99917763157896
Acrid Abeyance - Dynamique Twins (Remix),Germany,1994,126.04801829268291
Acrid Abeyance - Exposure Track (Cybordelics Remix) ,Germany,1994,151.99908088235293
Acrid Abeyance - Exposure Track (Original Mix) ,Germany,1994,143.5546875
Acrid Abeyance - Exposure Track (Pascal F.E.O.S. Remix) ,Germany,1994,143.5546875
Acrid Abeyance - H.A.P.P.Y.,Germany,1994,147.65625
Acrid Abeyance - Magnetic Overture,Germany,1994,156.60511363636357
Acrid Abeyance - Minimalistic,Germany,1993,147.65625
Acrid Abeyance - Pacific Pace,Germany,1994,129.19921875
Acrid Abeyance - Resograde ,Germany,1994,107.666015625
Acrid Abeyance - Speed Freak,Germany,1994,160.0
Acrid Abeyance - The Fugitives,Germany,1994,151.99908088235293
Acrid Abeyance - Tranquil,Germany,1993,123.046875
Acrid Abeyance - Tranquil,Germany,1994,123.046875
Act Of Fear - Lost In Love (Airplay Edit),Germany,1994,161.4990234375
Act of Fear - Lost in Love (Airplay Edit) ,Germany,1994,161.4990234375
Act Of Fear - Lost In Love (Container United DJ-Mix),Germany,1994,161.4990234375
Act of Fear - Lost in Love (Container United Mix) ,Germany,1994,172.265625
Act of Fear - Lost in Love (Legendary Edit),Germany,1994,161.4990234375
Act Of Fear - Lost In Love (Legendary Edit),Germany,1994,161.4990234375
Afrotrance - Afrotrance - Thousand Of Miles ,Germany,1993,139.67483108108107
Afrotrance - Dance Of Strong Men ,Germany,1993,151.99908088235293
Afrotrance - Deep Into The Dream ,Germany,1993,126.04801829268291
Afrotrance - Flying Dreams -,Germany,1993,101.33272058823529
Afrotrance - Mental Vision ,Germany,1993,184.5703125
Afrotrance - Spiritual Energy ,Germany,1993,139.67483108108107
Afrotrance - Spiritual Energy,Germany,1994,139.67483108108107
Age - Acre Of Brain,Germany,1993,147.65625
Age - Age ,Germany,1992,132.51201923076925
Age - Big E,Germany,1991,132.51201923076925
Age - Brainwash ,Germany,1994,112.34714673913048
Age - Darkhold ,Germany,1993,139.67483108108104
Age - Doomsday,Germany,1993,147.65625
Age - Eight Sphere,Germany,1993,147.65625
Age - Eine Fremde Lebensform,Germany,1994,98.0
