year,record_labels,number_of_labels
2009,"8bit Records, Anjunabeats, Bass Planet, CL Recordings, Cocoon Recordings, Compost Records, Connaisseur Recordings, Datapunk, Desolat Music Group, Drumcode, Euphonic, Get Physical Music, Great Stuff, Kontor Records, Maelstrom Records, Milk & Sugar Recordings, Planet Gong, Punx Records, Toptrax Recordings, Traum Schallplatten, Yellow Tail",21
2010,"120db Records, 2-Dutch BV, Abschuss Records, Armada Music, Bass Planet, Battle Kingz, Be Yourself Music, CLR, Cajual Music, Diynamic Music, Dutch Master Works, Garuda Music, Great Stuff, Hedgehog, Interlabel Records, P Playground, Planetnatus, Plastic City, Sick Weird Rough, Sound4Group, Systematic Recordings, Traum Schallplatten, Vandit Records",23
2011,"1605 Music Therapy, Armin Audio, Bass Planet, Beat Freak Recordings, Bouq. Records, Boysnoize Records, Compuphonic, Cr2 Records, Definitive Recordings, Dim Mak Records, Flamingo Recordings, Gruuv, Hotfingers, Kammermeier And Merziger, Kingdom Kome Cuts, Kittball Records, Kontor Records, Mau5trap Recordings, Morrison Recordings, New State Music, Nirvana Recordings, Nouveau Niveau, Ostgut Ton, Paul Kalkbrenner Musik, Rekids, Saved Records, Size Records, Skint Records, Soundcolours, Superstar, Systematic Recordings, Temps d'Avance, Tiger Records, Tribal Vision Records, Unt Records, WePlay",36
2012,"Area Remote, Armada Music, Axtone Records, Bass Planet, Bazooka Records, Break New Soil, Cadenza Records, Connaisseur Recordings, Cr2 Records, Cécille Records, Drumcode, Flamingo Recordings, Flashover Recordings, Great Stuff, Hardwell Productions, Intec Digital, Kontor Records, Magik Muzik, Mau5trap Recordings, Ministry of Sound Australia, Mobilee, Mudra Audio, Neon Records, Nouveau Niveau, Paul van Dyk, Platform B, Spinnin' Records, Suol, Systematic Recordings, TK Recordings, Tiger Records, Tone Diary Recordings, Traum Schallplatten, Ultra Records, WePlay",35
2013,"Apart12, Armin Audio, Bass Planet, Beatdisaster Records, Big Fish Music, Bontage Music, Cr2 Records, Cécille Records, Drumcode, Figure, Flashover Recordings, Four Music, Garuda music, Great Stuff, Hardwell Productions, Kompakt, Kontor Records, Mobilee, Monaberry, Nouveau Niveau, PinkStar Records, Poesie Musik, Sixteenofive, Sourvenir Music, Systematic Recordings, Tiger Records, Toolroom Records, Traum Schallplatten, WePlay, liebe*detail",30
2014,"1605 Music Therapy, 303Lovers, Abstract Records, Armada Music, Armin Audio, Axtone Records, BluFin Records, Burlesque Musique, Four Music, Great Stuff, Hardwell Productions, Ideal Audio, Kontor Records, Kraftek, Lochmann Records, Nouveau Niveau, Over., Protocol Recordings, S2 Records, Soundplate Records, Spinnin' Records, Stil Vor Talent, Temps d'Avance, Tiger Records, Traum Schallplatten, Turbo Recordings, Ultra Records, Van de Wall International, Wake Your Mind Records, WePlay",30
2015,"Armada Music, Armin Audio, Aropa Records, Axtone Records, Black Hole Recordings, Burlesque Musique, CNR Records, Chillbeat Records, City Slang, Danse Club Records, Drumcode, Ego Music, F! Records, Flashover Recordings, Hospital Records, Hungry Music, Kampakt, Kontor Records, Moonbootique Records, Noir Music, Praxxiz, Revealed Recordings, Smash The House, Soso, Tiger Records, Tonspiel, Truesoul, Wake Your Mind Records, WePlay, What I Play, Wild Animals",31
2016,"8bit Records, Anjunabeats, Armada Music, Armin Audio, Blindfold Recordings, Cocoon Recordings, Concepts Of Time, Doorn Records, Formatik Records, HEXAGON, Herzblut Recordings, Kontor Records, MOD, Maxximize, Mesmeric Records, Micro Fon Records, Mobille, Musical Freedom Label, Nouveau Niveau, OFF Recordings, Parquet Recordings, Revealed Recordings, Smash The House, Spinnin' Records, Suara Music, Sudbeat Music, Terminal M, Tonspiel, Toolroom Records, What I Play",30
2017,"2-Dutch, Armada Music, Armin Audio, Be Yourself Catalogue, Black Hole Recordings, Cocoon Recordings, Coldharbour Recordings, Diffused Music, Diynamic Music, Drumcode, FSOE Recordings, Figure, Fonk Recordings, Jee Productions, Kontor Records, Nonstop Music Group, Revealed Recordings, Running Back, STMPD RCRDS, Sapiens, Sirup Music, Sirup Musik, Smash The House, Spintwist Records, Subliminal Records, Terminal M, Truesoul",27
2018,"Anjunadeep, Armada Music, Armin Audio, Cloud 9 Music, Cocoon Recordings, Cr2 Records, Dirtybird, Drumcode, Eclipse Recordings, Einmusika Recordings, Elevate, Embassy One, Future Sound Of Egypt, International Deejay Gigolo Records, Kompakt, Kontor Records, Kraftek Music, Musicismusic, Revealed Recordings, Sirup Music, Smash The House, Spintwist Records, Subvision, Tiger Records, Vaypor, Wall Recordings, Wild Animals Records",27
2019,"Armada Music, Armin Audio, Darklight Recordings, Days Like Nights, Diynamic Music, Embassy One, Found Frequencies, HEXAGON, Harthouse, JEUDI Records, Kling Klong, Kontor Records, Lost & Cie, Musical Freedom Records, Nouveau Niveau, Octopus Recordings, Parquet Recordings, Radiant., Reaching Altitude, Renaissance, Revealed Recordings, Second State, Sirup Music, Soundcolours, Spintwist Records, Stil Vor Talent, Systematic Recordings",27
2020,"Armada Music, Armada music, Arts, CamelPhat Limited, Central Station Records, Club Sweat, Cr2 Records, Defferent Recordings, Dirtybird, Embassy One, Found Frequencies, Fryhide Records, Infectious Records, KMS Records, Kontor Records, Musicismusic, SOM, Sirup Music, Soundcolours, Spectrum Music, Spintwist Records, Sweat It Out!, Toolroom Productions, True Romance, Ultra Records, Universal Music",26
